,name,age,gender,origin
0,sub00440,24,f,Beijing
1,sub01018,18,m,Beijing
2,sub01244,25,f,Beijing
3,sub02403,20,m,Beijing
4,sub04050,21,f,Beijing
5,sub04191,24,m,Beijing
6,sub05267,19,f,Beijing
7,sub06880,18,m,Beijing
8,sub06899,19,f,Beijing
9,sub07144,20,m,Beijing
10,sub07716,23,m,Beijing
11,sub07717,22,f,Beijing
12,sub08001,21,f,Beijing
13,sub08251,24,m,Beijing
14,sub08455,25,m,Beijing
15,sub08816,21,f,Beijing
16,sub08992,20,f,Beijing
17,sub10186,19,m,Beijing
18,sub10277,22,f,Beijing
19,sub10869,23,f,Beijing
20,sub10973,21,m,Beijing
21,sub11072,25,f,Beijing
22,sub11344,21,f,Beijing
23,sub12220,22,f,Beijing
24,sub14238,20,m,Beijing
25,sub15441,19,f,Beijing
26,sub16091,23,f,Beijing
27,sub16943,26,f,Beijing
28,sub17093,23,f,Beijing
29,sub17159,19,m,Beijing
30,sub17315,20,f,Beijing
31,sub17586,19,m,Beijing
32,sub17603,21,m,Beijing
33,sub17642,24,m,Beijing
34,sub17688,19,f,Beijing
35,sub18326,21,f,Beijing
36,sub18758,20,m,Beijing
37,sub18960,23,m,Beijing
38,sub19642,21,f,Beijing
39,sub19974,21,f,Beijing
40,sub20127,21,f,Beijing
41,sub20246,20,f,Beijing
42,sub20765,20,m,Beijing
43,sub20948,23,f,Beijing
44,sub21115,21,f,Beijing
45,sub22201,19,m,Beijing
46,sub22595,21,f,Beijing
47,sub22661,21,f,Beijing
48,sub22715,19,f,Beijing
49,sub22890,18,m,Beijing
50,sub26713,21,f,Beijing
51,sub28206,22,m,Beijing
52,sub28403,20,m,Beijing
53,sub28698,18,f,Beijing
54,sub28792,20,m,Beijing
55,sub28801,22,f,Beijing
56,sub28907,23,m,Beijing
57,sub28965,19,f,Beijing
58,sub29590,21,f,Beijing
59,sub29785,22,f,Beijing
60,sub30272,23,f,Beijing
61,sub30310,22,f,Beijing
62,sub30556,22,m,Beijing
63,sub30616,21,m,Beijing
64,sub30988,23,f,Beijing
65,sub31058,20,m,Beijing
66,sub31729,22,f,Beijing
67,sub32517,21,m,Beijing
68,sub32587,20,f,Beijing
69,sub33747,26,f,Beijing
70,sub33943,20,f,Beijing
71,sub33991,20,f,Beijing
72,sub34895,22,f,Beijing
73,sub34943,21,f,Beijing
74,sub35309,22,m,Beijing
75,sub35776,24,m,Beijing
76,sub35806,22,m,Beijing
77,sub36580,23,m,Beijing
78,sub36942,23,f,Beijing
79,sub37602,21,f,Beijing
80,sub38602,20,f,Beijing
81,sub39725,20,m,Beijing
82,sub40037,20,f,Beijing
83,sub40427,21,f,Beijing
84,sub41170,20,f,Beijing
85,sub41621,19,f,Beijing
86,sub42512,20,m,Beijing
87,sub42555,18,f,Beijing
88,sub42843,20,f,Beijing
89,sub43290,20,m,Beijing
90,sub44573,19,f,Beijing
91,sub45552,18,f,Beijing
92,sub46058,25,m,Beijing
93,sub46259,19,m,Beijing
94,sub46541,21,m,Beijing
95,sub48501,23,f,Beijing
96,sub48563,20,f,Beijing
97,sub48676,21,m,Beijing
98,sub49782,19,f,Beijing
99,sub50498,21,f,Beijing
100,sub50873,22,f,Beijing
101,sub50972,24,f,Beijing
102,sub50985,19,f,Beijing
103,sub51015,20,f,Beijing
104,sub51586,22,m,Beijing
105,sub52044,22,f,Beijing
106,sub52259,21,m,Beijing
107,sub53572,20,m,Beijing
108,sub53998,20,f,Beijing
109,sub54890,21,f,Beijing
110,sub55301,23,f,Beijing
111,sub55541,25,m,Beijing
112,sub55736,19,m,Beijing
113,sub55856,22,f,Beijing
114,sub56136,22,m,Beijing
115,sub56659,23,f,Beijing
116,sub56703,21,m,Beijing
117,sub56757,21,m,Beijing
118,sub58029,26,f,Beijing
119,sub58332,21,m,Beijing
120,sub58614,19,m,Beijing
121,sub59347,21,m,Beijing
122,sub59448,20,m,Beijing
123,sub61961,21,f,Beijing
124,sub62083,20,f,Beijing
125,sub62438,21,m,Beijing
126,sub62843,19,f,Beijing
127,sub62966,19,m,Beijing
128,sub64923,21,f,Beijing
129,sub65467,21,m,Beijing
130,sub65659,21,m,Beijing
131,sub66158,21,f,Beijing
132,sub66528,22,f,Beijing
133,sub66781,21,m,Beijing
134,sub66889,23,m,Beijing
135,sub67435,20,f,Beijing
136,sub67844,20,f,Beijing
137,sub68012,24,f,Beijing
138,sub68597,19,f,Beijing
139,sub69518,21,f,Beijing
140,sub69696,18,m,Beijing
141,sub71693,23,m,Beijing
142,sub72654,22,f,Beijing
143,sub72678,20,f,Beijing
144,sub73098,20,f,Beijing
145,sub73245,24,f,Beijing
146,sub73279,20,f,Beijing
147,sub73421,19,f,Beijing
148,sub74386,20,f,Beijing
149,sub74587,20,f,Beijing
150,sub75878,24,m,Beijing
151,sub76377,24,m,Beijing
152,sub77440,24,f,Beijing
153,sub80163,24,f,Beijing
154,sub80551,20,f,Beijing
155,sub80569,22,m,Beijing
156,sub80927,19,f,Beijing
157,sub81062,22,f,Beijing
158,sub81074,20,f,Beijing
159,sub82352,24,f,Beijing
160,sub82426,23,f,Beijing
161,sub82714,20,f,Beijing
162,sub82826,20,f,Beijing
163,sub82980,20,m,Beijing
164,sub83430,18,f,Beijing
165,sub83624,20,f,Beijing
166,sub83728,21,m,Beijing
167,sub85030,22,m,Beijing
168,sub85543,20,f,Beijing
169,sub85818,23,f,Beijing
170,sub86114,22,f,Beijing
171,sub87089,24,f,Beijing
172,sub87776,21,f,Beijing
173,sub88306,19,f,Beijing
174,sub88947,21,f,Beijing
175,sub89088,19,f,Beijing
176,sub89238,22,f,Beijing
177,sub89592,21,m,Beijing
178,sub89742,21,m,Beijing
179,sub89941,18,m,Beijing
180,sub91145,21,m,Beijing
181,sub91399,21,m,Beijing
182,sub91952,22,f,Beijing
183,sub92430,21,m,Beijing
184,sub92490,20,m,Beijing
185,sub92544,22,m,Beijing
186,sub92602,26,m,Beijing
187,sub92799,23,f,Beijing
188,sub92859,21,f,Beijing
189,sub93689,19,f,Beijing
190,sub93856,20,f,Beijing
191,sub94536,20,f,Beijing
192,sub95575,21,f,Beijing
193,sub95755,26,f,Beijing
194,sub96163,22,m,Beijing
195,sub97442,23,f,Beijing
196,sub98353,21,m,Beijing
197,sub98617,20,f,Beijing
