,name,age,gender,origin
0,sub00156,20,f,Cambridge
1,sub00294,20,f,Cambridge
2,sub01361,19,m,Cambridge
3,sub02591,22,f,Cambridge
4,sub02953,23,f,Cambridge
5,sub04187,18,f,Cambridge
6,sub04270,20,m,Cambridge
7,sub04491,25,f,Cambridge
8,sub04665,19,f,Cambridge
9,sub05306,19,f,Cambridge
10,sub05453,20,f,Cambridge
11,sub06037,21,f,Cambridge
12,sub06272,22,m,Cambridge
13,sub06987,21,m,Cambridge
14,sub07413,20,m,Cambridge
15,sub07798,22,m,Cambridge
16,sub07902,23,f,Cambridge
17,sub08204,26,f,Cambridge
18,sub08588,21,f,Cambridge
19,sub08723,22,f,Cambridge
20,sub08947,19,f,Cambridge
21,sub09015,25,f,Cambridge
22,sub09397,30,m,Cambridge
23,sub09633,30,f,Cambridge
24,sub10268,23,m,Cambridge
25,sub10619,19,m,Cambridge
26,sub11388,20,f,Cambridge
27,sub12346,18,m,Cambridge
28,sub13093,19,f,Cambridge
29,sub13187,23,m,Cambridge
30,sub13216,18,f,Cambridge
31,sub13902,19,m,Cambridge
32,sub14183,21,f,Cambridge
33,sub14194,20,m,Cambridge
34,sub14278,21,f,Cambridge
35,sub15172,20,f,Cambridge
36,sub15258,23,m,Cambridge
37,sub15432,23,m,Cambridge
38,sub15905,20,m,Cambridge
39,sub16122,18,f,Cambridge
40,sub16390,23,f,Cambridge
41,sub16846,29,m,Cambridge
42,sub17584,20,f,Cambridge
43,sub17737,26,f,Cambridge
44,sub17772,24,m,Cambridge
45,sub18295,21,m,Cambridge
46,sub18449,19,m,Cambridge
47,sub19717,20,m,Cambridge
48,sub20389,22,f,Cambridge
49,sub20543,20,f,Cambridge
50,sub20563,23,f,Cambridge
51,sub21755,21,m,Cambridge
52,sub23780,21,m,Cambridge
53,sub23869,22,f,Cambridge
54,sub24670,23,f,Cambridge
55,sub24757,21,f,Cambridge
56,sub25044,19,f,Cambridge
57,sub25058,22,m,Cambridge
58,sub25099,26,f,Cambridge
59,sub26348,23,f,Cambridge
60,sub27065,21,m,Cambridge
61,sub27230,22,m,Cambridge
62,sub27613,18,f,Cambridge
63,sub27796,22,f,Cambridge
64,sub29044,21,f,Cambridge
65,sub29425,22,m,Cambridge
66,sub29800,24,f,Cambridge
67,sub31522,21,f,Cambridge
68,sub34586,21,m,Cambridge
69,sub34741,27,f,Cambridge
70,sub35430,20,m,Cambridge
71,sub35512,19,f,Cambridge
72,sub37374,21,f,Cambridge
73,sub39053,22,m,Cambridge
74,sub39065,19,f,Cambridge
75,sub39142,25,m,Cambridge
76,sub39737,23,m,Cambridge
77,sub40635,18,m,Cambridge
78,sub41567,20,f,Cambridge
79,sub41773,21,m,Cambridge
80,sub41814,19,f,Cambridge
81,sub42146,24,f,Cambridge
82,sub42253,20,f,Cambridge
83,sub43304,23,f,Cambridge
84,sub43358,21,f,Cambridge
85,sub45344,21,m,Cambridge
86,sub45354,19,f,Cambridge
87,sub45604,23,f,Cambridge
88,sub47162,22,f,Cambridge
89,sub47231,21,f,Cambridge
90,sub47278,20,m,Cambridge
91,sub47498,19,m,Cambridge
92,sub49259,19,f,Cambridge
93,sub49998,20,f,Cambridge
94,sub50272,18,f,Cambridge
95,sub50454,20,f,Cambridge
96,sub50953,23,f,Cambridge
97,sub51050,23,f,Cambridge
98,sub51172,18,f,Cambridge
99,sub51512,23,m,Cambridge
100,sub51671,22,f,Cambridge
101,sub52036,20,f,Cambridge
102,sub52300,23,f,Cambridge
103,sub52442,25,f,Cambridge
104,sub53059,22,f,Cambridge
105,sub53107,19,f,Cambridge
106,sub53193,20,m,Cambridge
107,sub53296,22,f,Cambridge
108,sub53615,19,m,Cambridge
109,sub54846,20,m,Cambridge
110,sub55114,21,m,Cambridge
111,sub55660,20,f,Cambridge
112,sub55874,19,f,Cambridge
113,sub57221,21,m,Cambridge
114,sub58360,23,f,Cambridge
115,sub58470,20,m,Cambridge
116,sub58682,22,f,Cambridge
117,sub58874,20,m,Cambridge
118,sub59434,21,m,Cambridge
119,sub59729,23,m,Cambridge
120,sub60578,23,f,Cambridge
121,sub60797,19,f,Cambridge
122,sub61185,26,f,Cambridge
123,sub61209,20,f,Cambridge
124,sub61436,22,f,Cambridge
125,sub61753,20,f,Cambridge
126,sub62383,22,f,Cambridge
127,sub62424,20,f,Cambridge
128,sub62732,18,f,Cambridge
129,sub62908,26,f,Cambridge
130,sub63412,19,f,Cambridge
131,sub63661,23,f,Cambridge
132,sub64308,20,f,Cambridge
133,sub64985,18,m,Cambridge
134,sub65373,18,f,Cambridge
135,sub65682,21,m,Cambridge
136,sub66351,18,f,Cambridge
137,sub67117,20,f,Cambridge
138,sub68101,21,f,Cambridge
139,sub68425,20,f,Cambridge
140,sub69287,18,f,Cambridge
141,sub69315,21,m,Cambridge
142,sub69397,20,m,Cambridge
143,sub71849,21,m,Cambridge
144,sub72068,18,f,Cambridge
145,sub73317,19,m,Cambridge
146,sub73399,18,f,Cambridge
147,sub73477,22,f,Cambridge
148,sub76631,19,m,Cambridge
149,sub76745,20,m,Cambridge
150,sub77337,19,m,Cambridge
151,sub77435,19,f,Cambridge
152,sub77598,22,m,Cambridge
153,sub77989,22,f,Cambridge
154,sub78547,19,f,Cambridge
155,sub78552,19,f,Cambridge
156,sub78614,21,f,Cambridge
157,sub80557,22,m,Cambridge
158,sub81289,19,f,Cambridge
159,sub81524,24,f,Cambridge
160,sub81562,21,m,Cambridge
161,sub82113,19,m,Cambridge
162,sub82213,20,m,Cambridge
163,sub82435,20,m,Cambridge
164,sub83409,18,f,Cambridge
165,sub83683,22,f,Cambridge
166,sub84064,21,f,Cambridge
167,sub84256,20,f,Cambridge
168,sub84504,18,m,Cambridge
169,sub84845,23,m,Cambridge
170,sub86115,20,m,Cambridge
171,sub86637,21,f,Cambridge
172,sub87846,21,f,Cambridge
173,sub88445,20,f,Cambridge
174,sub88464,20,f,Cambridge
175,sub88853,29,f,Cambridge
176,sub89107,20,f,Cambridge
177,sub89435,18,f,Cambridge
178,sub89894,18,m,Cambridge
179,sub90059,19,m,Cambridge
180,sub90674,20,f,Cambridge
181,sub90681,22,m,Cambridge
182,sub90699,26,f,Cambridge
183,sub92288,23,m,Cambridge
184,sub92393,21,m,Cambridge
185,sub92440,24,m,Cambridge
186,sub93269,22,m,Cambridge
187,sub93488,20,m,Cambridge
188,sub93609,20,f,Cambridge
189,sub94304,22,m,Cambridge
190,sub95187,20,f,Cambridge
191,sub95644,20,f,Cambridge
192,sub95959,21,f,Cambridge
193,sub98528,19,f,Cambridge
194,sub98624,21,f,Cambridge
195,sub99085,20,f,Cambridge
196,sub99330,18,m,Cambridge
197,sub99462,19,f,Cambridge
