,name,age,gender,origin
0,sub10033,23.0,m,NewHaven
1,sub13647,43.0,f,NewHaven
2,sub17210,31.0,f,NewHaven
3,sub21671,43.0,m,NewHaven
4,sub26207,48.0,m,NewHaven
5,sub29140,18.0,m,NewHaven
6,sub29477,32.0,f,NewHaven
7,sub29510,18.0,f,NewHaven
8,sub35414,24.0,m,NewHaven
9,sub41042,25.0,m,NewHaven
10,sub43589,45.0,f,NewHaven
11,sub47200,31.0,f,NewHaven
12,sub51881,22.0,m,NewHaven
13,sub55899,41.0,m,NewHaven
14,sub64608,20.0,f,NewHaven
15,sub72884,38.0,m,NewHaven
16,sub84035,21.0,m,NewHaven
17,sub91269,23.0,f,NewHaven
18,sub95840,43.0,f,NewHaven
19,sub01183,22.0,f,NewHaven
20,sub16182,22.0,m,NewHaven
21,sub22732,27.0,m,NewHaven
22,sub26868,35.0,m,NewHaven
23,sub31815,42.0,m,NewHaven
24,sub47998,25.0,f,NewHaven
25,sub49611,27.0,f,NewHaven
26,sub53817,26.0,m,NewHaven
27,sub58306,29.0,f,NewHaven
28,sub60809,36.0,m,NewHaven
29,sub73603,29.0,f,NewHaven
30,sub75151,18.0,m,NewHaven
31,sub87964,21.0,f,NewHaven
32,sub89905,26.0,m,NewHaven
33,sub98941,23.0,f,NewHaven
34,sub99357,22.0,f,NewHaven
