,name,age,gender,origin
0,sub01077,21.0,f,Oulu
1,sub01241,21.0,f,Oulu
2,sub01261,20.0,m,Oulu
3,sub01679,22.0,m,Oulu
4,sub02036,22.0,f,Oulu
5,sub05081,21.0,m,Oulu
6,sub06307,21.0,m,Oulu
7,sub07552,22.0,f,Oulu
8,sub07876,21.0,f,Oulu
9,sub07946,22.0,f,Oulu
10,sub10958,21.0,f,Oulu
11,sub12060,22.0,f,Oulu
12,sub12126,22.0,f,Oulu
13,sub12152,21.0,m,Oulu
14,sub12379,22.0,f,Oulu
15,sub14473,21.0,f,Oulu
16,sub14725,21.0,m,Oulu
17,sub15128,20.0,f,Oulu
18,sub15422,21.0,f,Oulu
19,sub15497,22.0,f,Oulu
20,sub16378,21.0,m,Oulu
21,sub18356,21.0,m,Oulu
22,sub19159,21.0,f,Oulu
23,sub19971,22.0,f,Oulu
24,sub20495,22.0,f,Oulu
25,sub20926,21.0,m,Oulu
26,sub21499,22.0,f,Oulu
27,sub21502,21.0,m,Oulu
28,sub22180,22.0,m,Oulu
29,sub23392,22.0,f,Oulu
30,sub24781,22.0,f,Oulu
31,sub25331,22.0,f,Oulu
32,sub26554,22.0,m,Oulu
33,sub27274,21.0,m,Oulu
34,sub27392,22.0,f,Oulu
35,sub29793,22.0,f,Oulu
36,sub31444,22.0,m,Oulu
37,sub32052,22.0,f,Oulu
38,sub32596,22.0,m,Oulu
39,sub33176,22.0,f,Oulu
40,sub35020,21.0,m,Oulu
41,sub35232,21.0,m,Oulu
42,sub35967,22.0,f,Oulu
43,sub39346,22.0,m,Oulu
44,sub39460,21.0,m,Oulu
45,sub40619,22.0,f,Oulu
46,sub41433,21.0,f,Oulu
47,sub41724,22.0,m,Oulu
48,sub41731,22.0,f,Oulu
49,sub42178,22.0,f,Oulu
50,sub43055,22.0,f,Oulu
51,sub43803,22.0,f,Oulu
52,sub45566,22.0,m,Oulu
53,sub46973,21.0,m,Oulu
54,sub47094,21.0,m,Oulu
55,sub49227,21.0,f,Oulu
56,sub50637,21.0,f,Oulu
57,sub51387,21.0,f,Oulu
58,sub57150,22.0,f,Oulu
59,sub58867,21.0,f,Oulu
60,sub62124,20.0,f,Oulu
61,sub63516,22.0,m,Oulu
62,sub65041,21.0,m,Oulu
63,sub65461,22.0,f,Oulu
64,sub66467,21.0,f,Oulu
65,sub68752,22.0,f,Oulu
66,sub69925,22.0,f,Oulu
67,sub72000,23.0,m,Oulu
68,sub72795,21.0,f,Oulu
69,sub73221,22.0,f,Oulu
70,sub73709,22.0,f,Oulu
71,sub73853,21.0,m,Oulu
72,sub74276,22.0,f,Oulu
73,sub74941,21.0,f,Oulu
74,sub75293,21.0,m,Oulu
75,sub75361,22.0,m,Oulu
76,sub75620,22.0,f,Oulu
77,sub76935,21.0,f,Oulu
78,sub77629,22.0,f,Oulu
79,sub78282,22.0,f,Oulu
80,sub78327,22.0,m,Oulu
81,sub78648,21.0,f,Oulu
82,sub79784,21.0,f,Oulu
83,sub84631,21.0,m,Oulu
84,sub85532,22.0,f,Oulu
85,sub86362,22.0,f,Oulu
86,sub86410,22.0,f,Oulu
87,sub86559,22.0,f,Oulu
88,sub89213,22.0,m,Oulu
89,sub90623,21.0,f,Oulu
90,sub91105,22.0,m,Oulu
91,sub91222,22.0,f,Oulu
92,sub91232,22.0,f,Oulu
93,sub94314,21.0,f,Oulu
94,sub95854,21.0,f,Oulu
95,sub96080,21.0,f,Oulu
96,sub96197,21.0,m,Oulu
97,sub98146,22.0,f,Oulu
98,sub98207,21.0,m,Oulu
99,sub98439,21.0,m,Oulu
100,sub98661,21.0,f,Oulu
101,sub98739,22.0,m,Oulu
102,sub99718,22.0,f,Oulu
