,name,age,gender,origin
0,sub02248,20.0,m,Oxford
1,sub07210,32.0,f,Oxford
2,sub13304,35.0,f,Oxford
3,sub16112,21.0,f,Oxford
4,sub17516,31.0,m,Oxford
5,sub23740,27.0,f,Oxford
6,sub24528,29.0,m,Oxford
7,sub40095,27.0,f,Oxford
8,sub40451,34.0,m,Oxford
9,sub47141,29.0,f,Oxford
10,sub48778,27.0,m,Oxford
11,sub56945,30.0,m,Oxford
12,sub57368,25.0,f,Oxford
13,sub66945,31.0,m,Oxford
14,sub68195,29.0,m,Oxford
15,sub71633,29.0,f,Oxford
16,sub74429,28.0,m,Oxford
17,sub76621,27.0,m,Oxford
18,sub79611,30.0,m,Oxford
19,sub80089,31.0,f,Oxford
20,sub82071,31.0,m,Oxford
21,sub85152,35.0,f,Oxford
