,name,age,gender,origin
0,sub02459,26.0,m,Queensland
1,sub04117,26.0,f,Queensland
2,sub16164,27.0,m,Queensland
3,sub16849,34.0,m,Queensland
4,sub36229,34.0,m,Queensland
5,sub39524,27.0,f,Queensland
6,sub42533,23.0,f,Queensland
7,sub47468,23.0,m,Queensland
8,sub49845,24.0,m,Queensland
9,sub56353,32.0,m,Queensland
10,sub66095,25.0,m,Queensland
11,sub68733,20.0,f,Queensland
12,sub70014,24.0,f,Queensland
13,sub72118,28.0,m,Queensland
14,sub80254,26.0,f,Queensland
15,sub86245,23.0,m,Queensland
16,sub86850,24.0,m,Queensland
17,sub88169,26.0,f,Queensland
18,sub93238,21.0,f,Queensland
